id,name,status,lastVerified,brand,street,locality,state,zip,citySlug,cityName,lat,lng,modalities,access,dropIn,dayPass,membershipMo,priceFrom,plungeF_low,plungeF_high,saunaF_low,saunaF_high,hours,website,bookingUrl,phone,url
"life-time-sandy-springs-atlanta-ga","Life Time Sandy Springs","brand_import","2026-08-26","life-time","5600 Roswell Road Building I","Sandy Springs","GA","30342","atlanta-ga","Atlanta","33.90668396","-84.38112393","cold_plunge|steam_room|traditional_sauna","communal",,,,"",,,,,"Mon–Fri 4:00am–12:00am, Sat–Sun 6:00am–11:00pm","https://www.lifetime.life/locations/ga/sandy-springs/amenities.html",,"+1-404-257-0900","https://findsaunaplunge.com/venue/life-time-sandy-springs-atlanta-ga/"
"life-time-sugarloaf-atlanta-ga","Life Time Sugarloaf","brand_import","2026-08-26","life-time","1823 N Brown Rd","Lawrenceville","GA","30043","atlanta-ga","Atlanta","33.98552413","-84.08275443","cold_plunge|steam_room|traditional_sauna","communal",,,,"",,,,,"Mon–Fri 4:00am–12:00am, Sat–Sun 6:00am–11:00pm","https://www.lifetime.life/locations/ga/sugarloaf/amenities.html",,"+1-678-226-2099","https://findsaunaplunge.com/venue/life-time-sugarloaf-atlanta-ga/"
"life-time-woodstock-atlanta-ga","Life Time Woodstock","brand_import","2026-08-26","life-time","14200 Hwy 92","Woodstock","GA","30188","atlanta-ga","Atlanta","34.08083199","-84.4544654","cold_plunge|steam_room|traditional_sauna","communal",,,,"",,,,,"Mon–Fri 4:00am–12:00am, Sat–Sun 6:00am–11:00pm","https://www.lifetime.life/locations/ga/woodstock/amenities.html",,"+1-770-926-7544","https://findsaunaplunge.com/venue/life-time-woodstock-atlanta-ga/"
"alive-and-well-austin-austin-tx","Alive and Well Austin","community","2026-08-01","alive-and-well","3944 Ranch Road 620 S, Bldg 6 Ste 100","Bee Cave","TX","78738","austin-tx","Austin","30.311106","-97.94683","cold_plunge|traditional_sauna|infrared_sauna|red_light|compression","unpublished",,,"125","","42","47","150","195","Mon–Fri 9:00am–8:00pm, Sat 9:00am–6:00pm, Sun 10:00am–5:00pm","https://aliveandwell.health/pages/locations/austin","https://aliveandwell.health/pages/book-appointments","+1-512-580-5775","https://findsaunaplunge.com/venue/alive-and-well-austin-austin-tx/"
"bathe-austin-tx","BATHE","community","2026-08-24",,"2922 E Cesar Chavez","Austin","TX","78702","austin-tx","Austin","30.255896","-97.731707","cold_plunge|traditional_sauna|steam_room","communal",,,"199","",,,,,"Open daily 8:00am–10:00pm","https://www.batheaustin.com/","https://momence.com/BATHE/appointment-reservation/47810?boardId=124049","+1-512-275-6942","https://findsaunaplunge.com/venue/bathe-austin-tx/"
"cedar-banya-austin-tx","Cedar Banya","community","2026-08-01",,"753 S Bell Blvd","Cedar Park","TX","78613","austin-tx","Austin","30.502112","-97.817633","cold_plunge|traditional_sauna|steam_room","mixed","50",,"150","",,,,,,"https://cedarbanya.com/","https://cedarbanya.com/single-visit-pass/","+1-737-252-5553","https://findsaunaplunge.com/venue/cedar-banya-austin-tx/"
"ceremony-a-social-spa-austin-tx","Ceremony - A Social Spa","community","2026-08-06",,"1706 S. Lamar Blvd","Austin","TX","78704","austin-tx","Austin","30.250521","-97.766281","cold_plunge|traditional_sauna","communal",,,"192","","40","55","180","195","Mon–Fri 10:00am–11:00pm, Sat–Sun 8:00am–11:00pm","https://ceremonyspa.com/","https://ceremonyspa.com/book-an-appointment/","+1-512-671-0224","https://findsaunaplunge.com/venue/ceremony-a-social-spa-austin-tx/"
"contrast-austin-tx","CØNTRAST","community","2026-08-24",,"1915 E Martin Luther King Jr Blvd #101","Austin","TX","78702","austin-tx","Austin","30.279661","-97.72018","cold_plunge|traditional_sauna|infrared_sauna|red_light","mixed","29",,"144","",,,,,"Sun–Thu 10:00am–9:00pm, Fri–Sat 10:00am–10:00pm","https://contrastatx.com/","https://contrastatx.com/","+1-512-743-9956","https://findsaunaplunge.com/venue/contrast-austin-tx/"
"contrast-collective-austin-tx","Contrast Collective","community","2026-08-01",,"3241 E Martin Luther King Jr Blvd","Austin","TX","78721","austin-tx","Austin","30.282719","-97.702058","cold_plunge|traditional_sauna","private_suite","35",,,"","39","39","180","180",,"https://www.contrast-collective.com/en","https://www.contrast-collective.com/auth",,"https://findsaunaplunge.com/venue/contrast-collective-austin-tx/"
"generator-athlete-lab-austin-tx","Generator Athlete Lab","community","2026-08-01",,"800 W Cesar Chavez St #PP120","Austin","TX","78701","austin-tx","Austin","30.266283","-97.752599","cold_plunge|infrared_sauna|red_light|compression","private_suite","75",,"179","","46","52",,,,"https://www.generatorathletelab.com","https://www.generatorathletelab.com/schedule","+1-512-614-2200","https://findsaunaplunge.com/venue/generator-athlete-lab-austin-tx/"
"kuya-wellness-austin-tx","Kuya Wellness","community","2026-08-01",,"4401 Freidrich Ln Unit 300","Austin","TX","78744","austin-tx","Austin","30.208939","-97.749879","cold_plunge|traditional_sauna|float","communal",,"65","249","",,,,,"Mon–Fri 7:30am–9:00pm, Sat–Sun 9:00am–9:00pm","https://kuyawellness.com/","https://kuyawellness.zenoti.com/webstoreNew/2177a027-50bd-46d1-89c2-3378ceeef2d7","+1-512-535-6594","https://findsaunaplunge.com/venue/kuya-wellness-austin-tx/"
"melt-well-sauna-plunge-studio-austin-tx","Melt Well — Sauna & Plunge Studio","community","2026-08-01",,"5400 Brodie Lane, Suite 250","Austin","TX","78745","austin-tx","Austin","30.228888","-97.822742","cold_plunge|infrared_sauna|red_light","private_suite",,,"189","",,,,,"Mon–Fri 8:00am–8:00pm, Sat–Sun 8:00am–6:00pm","https://www.melt-well.com/austin","https://clients.mindbodyonline.com/classic/ws?studioid=5744169","+1-512-844-7585","https://findsaunaplunge.com/venue/melt-well-sauna-plunge-studio-austin-tx/"
"sauna-house-austin-north-loop-austin-tx","Sauna House — Austin North Loop","community","2026-08-01",,"1507 W North Loop Blvd","Austin","TX","78756","austin-tx","Austin","30.321318","-97.729847","cold_plunge|traditional_sauna","communal",,,,"",,,,,"Sun 9:00am-10:00pm, Mon 4:00pm-10:00pm, Tue closed, Wed-Fri 12:00pm-10:00pm, Sat 9:00am-10:00pm","https://www.saunahouse.com/pages/austin-north-loop","https://book.saunahouse.com/","+1-512-596-3303","https://findsaunaplunge.com/venue/sauna-house-austin-north-loop-austin-tx/"
"the-ocean-lab-austin-tx","The Ocean Lab","community","2026-08-01",,"3314 Harmon Ave","Austin","TX","78705","austin-tx","Austin","30.291633","-97.723422","cold_plunge|infrared_sauna|float|pemf","mixed","25",,"199","","40","50",,,,"https://oceanlabatx.com/","https://oceanlabatx.as.me/schedule/57a55f3d","+1-512-488-1710","https://findsaunaplunge.com/venue/the-ocean-lab-austin-tx/"
"perspire-sauna-studio-austin-southwest-austin-tx","Perspire Sauna Studio — Austin Southwest","community","2026-08-16",,"4404 West William Cannon Drive Suite C","Austin","TX","78749","austin-tx","Austin","30.222796","-97.839497","infrared_sauna|red_light","private_suite","60",,"129","",,,,,"Mon-Thu 7:00 AM-9:00 PM; Fri 7:00 AM-7:00 PM; Sat-Sun 8:00 AM-7:00 PM","https://www.perspiresaunastudio.com/locations/austin-southwest",,"+1-512-420-4943","https://findsaunaplunge.com/venue/perspire-sauna-studio-austin-southwest-austin-tx/"
"perspire-sauna-studio-georgetown-tx","Perspire Sauna Studio — Georgetown","community","2026-08-16",,"1013 West University Avenue Ste 140","Georgetown","TX","78628","austin-tx","Austin","30.632939","-97.694772","infrared_sauna|red_light","private_suite","50",,"99","",,,,,"Mon-Fri 7:00 AM-9:00 PM; Sat-Sun 8:00 AM-8:00 PM","https://www.perspiresaunastudio.com/tx/georgetown/",,"+1-737-290-0153","https://findsaunaplunge.com/venue/perspire-sauna-studio-georgetown-tx/"
"restore-hyper-wellness-mueller-austin-tx","Restore Hyper Wellness - Mueller","community","2026-08-16",,"1911 Aldrich Street","Austin","TX","78723","austin-tx","Austin","30.298354","-97.704842","cryotherapy|infrared_sauna|compression|red_light","unpublished",,,"190","",,,,,"Mon-Fri 10AM-7PM; Sat-Sun 10AM-5PM","https://www.restore.com/locations/tx-austin-mueller-tx010",,"+1-512-330-4839","https://findsaunaplunge.com/venue/restore-hyper-wellness-mueller-austin-tx/"
"restore-hyper-wellness-south-lamar-austin-tx","Restore Hyper Wellness - South Lamar","community","2026-08-16",,"1100 S Lamar Blvd, Suite 2114","Austin","TX","78704","austin-tx","Austin","30.255509","-97.761884","cryotherapy|infrared_sauna|compression|red_light","unpublished",,,"190","",,,,,"Mon-Fri 10AM-7PM; Sat-Sun 10AM-5PM","https://www.restore.com/locations/tx-austin-south-lamar-tx024",,"+1-512-291-3156","https://findsaunaplunge.com/venue/restore-hyper-wellness-south-lamar-austin-tx/"
"icryo-south-austin-austin-tx","iCRYO — South Austin","community","2026-08-16",,"4211 S Lamar Blvd. B4","Austin","TX","78704","austin-tx","Austin","30.236439","-97.79207","cryotherapy|infrared_sauna|red_light|compression","unpublished",,,,"",,,,,"Mon-Fri 9am-8pm; Sat 9am-5pm; Sun 10am-4pm","https://icryo.com/location/austin-tx/",,"+1-512-761-3880","https://findsaunaplunge.com/venue/icryo-south-austin-austin-tx/"
"hotworx-austin-n-lamar-austin-tx","HOTWORX - Austin (N. Lamar)","community","2026-08-16",,"5629 N Lamar Blvd., Suite 110","Austin","TX","78751","austin-tx","Austin","30.324572","-97.727137","infrared_sauna","unpublished",,,,"",,,,,"24/7 member access; staffed Mon-Thu 11am-8pm, Fri 9am-6pm, Sat 9am-2pm","https://www.hotworx.net/studio/austin-n-lamar/",,"+1-512-631-6011","https://findsaunaplunge.com/venue/hotworx-austin-n-lamar-austin-tx/"
"beanyology-round-rock-tx","Beanyology","community","2026-08-16",,"2301 Red Bud Ln #200","Round Rock","TX","78664","austin-tx","Austin","30.499242","-97.613254","infrared_sauna|cold_plunge","unpublished",,,,"",,,,,"Mon 7AM-3PM; Tue 7AM-3PM; Wed-Fri 7AM-7PM; Sat 7AM-3PM; Sun 12PM-7PM","https://www.beanyology.com/sauna-and-cold-plunge",,"+1-620-290-6419","https://findsaunaplunge.com/venue/beanyology-round-rock-tx/"
"evolve-round-rock-tx","Evolve Round Rock","community","2026-08-16",,"2601 S I-35 Frontage Rd, Suite B600","Round Rock","TX","78681","austin-tx","Austin","30.4861","-97.6791","traditional_sauna|infrared_sauna|cold_plunge|red_light|compression","communal","49",,"119","",,,"170","200","Open daily 10am-8pm","https://roundrock.evolvehumanlabs.com/",,"+1-512-270-6080","https://findsaunaplunge.com/venue/evolve-round-rock-tx/"
"east-austin-athletic-club-austin-tx","East Austin Athletic Club — Recovery Room","community","2026-08-16",,"4909 E Cesar Chavez St, Suite C","Austin","TX","78702","austin-tx","Austin","30.251584","-97.701383","traditional_sauna|cold_plunge","unpublished",,,"89","",,,,,,"https://www.eastaustinathleticclub.com/recovery-room",,"+1-512-382-7877","https://findsaunaplunge.com/venue/east-austin-athletic-club-austin-tx/"
"perspire-sauna-studio-hill-country-galleria-bee-cave-tx","Perspire Sauna Studio — Hill Country Galleria","community","2026-08-16",,"13500 Galleria Circle Suite U-110","Bee Cave","TX","78738","austin-tx","Austin","30.309718","-97.939154","infrared_sauna|red_light","private_suite","60",,"129","",,,,,"Mon-Fri 7:00 AM-9:00 PM; Sat-Sun 8:00 AM-8:00 PM","https://www.perspiresaunastudio.com/locations/hill-country-galleria",,"+1-512-827-0060","https://findsaunaplunge.com/venue/perspire-sauna-studio-hill-country-galleria-bee-cave-tx/"
"texas-family-chiropractic-infrared-sauna-pflugerville-tx","Texas Family Chiropractic — Infrared Sauna","community","2026-08-16",,"16301 Yellow Sage St","Pflugerville","TX","78660","austin-tx","Austin","30.44999","-97.640149","infrared_sauna","unpublished",,,,"",,,,,"Mon/Wed/Thu 8:30-12:00 & 2:30-6:00; Tue 10:00-12:00 & 2:30-6:00; Fri 8:30-12:00; Sat by appt","https://www.texasfamilychiropractic.com/infrared-sauna/",,"+1-512-252-9444","https://findsaunaplunge.com/venue/texas-family-chiropractic-infrared-sauna-pflugerville-tx/"
"life-time-austin-north-austin-tx","Life Time Austin - North","brand_import","2026-08-26","life-time","13725 Ranch Rd 620 N","Austin","TX","78717","austin-tx","Austin","30.47294554","-97.77410286","cold_plunge|traditional_sauna|steam_room","communal",,,,"",,,,,"Mon–Fri 4:00am–12:00am, Sat–Sun 5:00am–11:00pm","https://www.lifetime.life/locations/tx/austin-north/amenities.html",,"+1-512-219-0909","https://findsaunaplunge.com/venue/life-time-austin-north-austin-tx/"
"life-time-austin-south-austin-tx","Life Time Austin - South","brand_import","2026-08-26","life-time","7101 S Mopac Expy","Austin","TX","78749","austin-tx","Austin","30.21558555","-97.83962808","cold_plunge|steam_room|traditional_sauna","communal",,,,"",,,,,"Mon–Fri 4:00am–12:00am, Sat–Sun 5:00am–11:00pm","https://www.lifetime.life/locations/tx/austin-south/amenities.html",,"+1-512-358-8171","https://findsaunaplunge.com/venue/life-time-austin-south-austin-tx/"
"life-time-south-lamar-austin-tx","Life Time South Lamar","brand_import","2026-08-26","life-time","1301 South Lamar Blvd Suite 100","Austin","TX","78704","austin-tx","Austin","30.25378241","-97.7627019","cold_plunge|steam_room|traditional_sauna","communal",,,,"",,,,,"Mon–Fri 4:00am–11:00pm, Sat–Sun 6:00am–10:00pm","https://www.lifetime.life/locations/tx/south-lamar/amenities.html",,"+1-512-275-4700","https://findsaunaplunge.com/venue/life-time-south-lamar-austin-tx/"
"moki-sauna-allston-boston-ma","Moki Sauna Allston","community","2026-08-16",,"267 Western Ave","Boston","MA","02134","boston-ma","Boston","42.363314","-71.132264","traditional_sauna|cold_plunge","unpublished","59",,,"",,,,,,"https://www.mokisauna.com/allston","https://www.mokisauna.com/allston","+1-617-221-8497","https://findsaunaplunge.com/venue/moki-sauna-allston-boston-ma/"
"moki-sauna-south-boston-boston-ma","Moki Sauna South Boston","community","2026-08-16",,"385 Dorchester Ave","Boston","MA","02127","boston-ma","Boston","42.334971","-71.057133","traditional_sauna|cold_plunge","unpublished","59",,,"",,,,,,"https://www.mokisauna.com/southie","https://www.mokisauna.com/southie","+1-617-221-8497","https://findsaunaplunge.com/venue/moki-sauna-south-boston-boston-ma/"
"frost-and-float-newton-ma","Frost & Float","community","2026-08-16",,"1201 Washington St","Newton","MA","02465","boston-ma","Boston","42.349305","-71.223013","cryotherapy|infrared_sauna|float","unpublished","46",,,"",,,,,,"https://www.frostandfloatspa.com/","https://www.frostandfloatspa.com/pricing/","+1-617-795-5444","https://findsaunaplunge.com/venue/frost-and-float-newton-ma/"
